CDM Item Number,Revenue Code,Service ID,Service Description,Gross Charge,Discounted Cash Price,Minimum Negotiated Charge,Maximum Negotiated Charge,Payer Negotiated Charge: BCBS of AL,Payer Negotiated Charge: Cigna ,Payer Negotiated Charge: Cigna Medicare Adv,Payer Negotiated Charge: Simpra Advantage Inc MCR Adv (Plan: All),Payer Negotiated Charge: Tricare ,Payer Negotiated Charge: United Healthcare,Payer Negotiated Charge: VIVA,
7921679,636,,.MELLARIL (THIORIDAZINE): 10 MG TAB,4,2,1.48,2,1.48,1.88,1.6,1.6,1.88,1.88,1.6,
7921646,636,,.MELLARIL (THIORIDAZINE): 50 MG TAB,4,2,1.48,2,1.48,1.88,1.6,1.6,1.88,1.88,1.6,
7938314,636,,.MENEST 1.25 MG  TAB,4,2,1.48,2,1.48,1.88,1.6,1.6,1.88,1.88,1.6,
7921786,636,,.MEPERGAN FORTIS (MEPERIDINE/PROMETH),6,3,2.22,3,2.22,2.82,2.4,2.4,2.82,2.82,2.4,
7928278,636,,.MEPHYTON (PHYTONADIONE)[VIT K] 5 MG TAB,35,17.5,12.95,17.5,12.95,16.45,14,14,16.45,16.45,14,
7938916,636,,.MERCUROCLEAR LIQUID,8,4,2.96,4,2.96,3.76,3.2,3.2,3.76,3.76,3.2,
7938859,636,,.MESALT DRESSING 4X4,113,56.5,41.81,56.5,41.81,53.11,45.2,45.2,53.11,53.11,45.2,
7940077,636,,.metFORMIN HCL (GLUCOPHAGE) 850 MG BULK,7,3.5,2.59,3.5,2.59,3.29,2.8,2.8,3.29,3.29,2.8,
7938873,636,,.METHADONE DSK : 40MG TAB*,6,3,2.22,3,2.22,2.82,2.4,2.4,2.82,2.82,2.4,
7938782,636,,.METHADONE TAB : 5 MG,6,3,2.22,3,2.22,2.82,2.4,2.4,2.82,2.82,2.4,
7927155,636,,.METHERGINE (METHYLERGONOVINE): 0.2 MG A,17,8.5,6.29,8.5,6.29,7.99,6.8,6.8,7.99,7.99,6.8,
7927163,636,,.METHERGINE O.2MG TAB,4,2,1.48,2,1.48,1.88,1.6,1.6,1.88,1.88,1.6,
7931249,636,J9250,.METHOTREXATE 25 MG/ML INJ,18,9,6.66,9,6.66,8.46,7.2,7.2,8.46,8.46,7.2,
7938810,636,,.METROCREAM 0.75% CREAM 45 GM TUBE   *,197,98.5,72.89,98.5,72.89,92.59,78.8,78.8,92.59,92.59,78.8,
7932060,636,,.METROGEL 0.75% TOP GEL 45 GM TUBE   *,187,93.5,69.19,93.5,69.19,87.89,74.8,74.8,87.89,87.89,74.8,
7932528,636,,.METROGEL-VAGINAL (METRONIDAZOLE) 0.75%,143,71.5,52.91,71.5,52.91,67.21,57.2,57.2,67.21,67.21,57.2,
7930449,636,,.MEVACOR (LOVASTATIN): 10 MG TAB,10,5,3.7,5,3.7,4.7,4,4,4.7,4.7,4,
7938322,636,,.MICRO K (POTASSIUM CHLORIDE): 10 MEQ BU,4,2,1.48,2,1.48,1.88,1.6,1.6,1.88,1.88,1.6,
7920564,636,,.MICRO K (POTASSIUM CHLORIDE): 10 MEQ CA,4,2,1.48,2,1.48,1.88,1.6,1.6,1.88,1.88,1.6,
7932221,636,,.MIDRIN (IDA) CAP *,4,2,1.48,2,1.48,1.88,1.6,1.6,1.88,1.88,1.6,
7928393,636,,.MINIPRES (PRAZOSIN): 1 MG CAP,4,2,1.48,2,1.48,1.88,1.6,1.6,1.88,1.88,1.6,
7928419,636,,.MINIPRES (PRAZOSIN): 5 MG CAP,6,3,2.22,3,2.22,2.82,2.4,2.4,2.82,2.82,2.4,
7928401,636,,.MINIPRESS 2MG CAP,5,2.5,1.85,2.5,1.85,2.35,2,2,2.35,2.35,2,
7929334,636,,.MINOCIN (MINOCYCLINE): 100 MG CAP,15,7.5,5.55,7.5,5.55,7.05,6,6,7.05,7.05,6,
7939285,636,,.MINOCIN (MINOCYCLINE): 50 MG CAP,15,7.5,5.55,7.5,5.55,7.05,6,6,7.05,7.05,6,
7939056,636,,.MINOXIDIL 2.5 MG TAB,6,3,2.22,3,2.22,2.82,2.4,2.4,2.82,2.82,2.4,
7938732,636,,.MIRALAX POWDER 238GM,64,32,23.68,32,23.68,30.08,25.6,25.6,30.08,30.08,25.6,
7932724,636,,.MIRAPEX 0.25 MG,5,2.5,1.85,2.5,1.85,2.35,2,2,2.35,2.35,2,
7927304,636,,.MONISTAT DERM (MICONAZOLE) CR 2%,88,44,32.56,44,32.56,41.36,35.2,35.2,41.36,41.36,35.2,
7938579,636,,.MONOPRIL (FOSINOPRIL): 20 MG TAB,6,3,2.22,3,2.22,2.82,2.4,2.4,2.82,2.82,2.4,
7939998,636,J2270,.MORPHINE  8 MG/ML VIAL,20,10,7.4,10,7.4,9.4,8,8,9.4,9.4,8,
7927361,636,,.MORPHINE 10 MG/5ML LIQ UD CUPS,6,3,2.22,3,2.22,2.82,2.4,2.4,2.82,2.82,2.4,
7940041,636,J2270,.MORPHINE 10 MG/ML  10 ML VIAL FOR PCA,20,10,7.4,10,7.4,9.4,8,8,9.4,9.4,8,
7927353,636,,.MORPHINE 1MG/ML PCA,72,36,26.64,36,26.64,33.84,28.8,28.8,33.84,33.84,28.8,
7939271,636,,.MORPHINE 20 MG/ 1 ML ORAL SOL 30 ML BOT,44,22,16.28,22,16.28,20.68,17.6,17.6,20.68,20.68,17.6,
7932436,636,,.MORPHINE 20 MG/ 5 ML ORAL SOLUTION,4,2,1.48,2,1.48,1.88,1.6,1.6,1.88,1.88,1.6,
7939225,636,,.MORPHINE 20 MG/ML CONC SOLUTION 240 ML,4,2,1.48,2,1.48,1.88,1.6,1.6,1.88,1.88,1.6,
7939270,636,,.MORPHINE 20 MG/ML INVAMP,6,3,2.22,3,2.22,2.82,2.4,2.4,2.82,2.82,2.4,
7938781,636,,.MORPHINE 20 MG/ML ORAL SYRINGE,6,3,2.22,3,2.22,2.82,2.4,2.4,2.82,2.82,2.4,
7939210,636,,.MORPHINE 5 MG/0.25 ML SYR ORAL SOL,6,3,2.22,3,2.22,2.82,2.4,2.4,2.82,2.82,2.4,
7930753,636,,.MORPHINE 5MG/ML PCA,84,42,31.08,42,31.08,39.48,33.6,33.6,39.48,39.48,33.6,
7938997,636,J2270,.MORPHINE MDV 15 MG/ML,20,10,7.4,10,7.4,9.4,8,8,9.4,9.4,8,
7939226,636,,.MORPHINE ORAL SOL 20MG/ML (200 MG/SYR),9,4.5,3.33,4.5,3.33,4.23,3.6,3.6,4.23,4.23,3.6,
79221315,636,,.MORPHINE SUPP 20 MG,17,8.5,6.29,8.5,6.29,7.99,6.8,6.8,7.99,7.99,6.8,
7921083,636,,.MOTRIN (IBUPROFEN) 800 MG TAB,4,2,1.48,2,1.48,1.88,1.6,1.6,1.88,1.88,1.6,
7939217,636,,.MS CONTIN (MORPHINE ER): 100 MG TAB,19,9.5,7.03,9.5,7.03,8.93,7.6,7.6,8.93,8.93,7.6,
7927379,636,,.MS CONTIN (ORAMORPH SR) 30 MG TAB,9,4.5,3.33,4.5,3.33,4.23,3.6,3.6,4.23,4.23,3.6,
7931470,636,,.MS CONTIN 60 MG TAB,16,8,5.92,8,5.92,7.52,6.4,6.4,7.52,7.52,6.4,
7931982,636,,.MTE 4 (TRACE ELEMENTS) INJ,27,13.5,9.99,13.5,9.99,12.69,10.8,10.8,12.69,12.69,10.8,
7922966,636,,.MULTIVITAMIN LIQUID UD,4,2,1.48,2,1.48,1.88,1.6,1.6,1.88,1.88,1.6,
7927387,636,,.MUMPS SKIN TEST INJ,50,25,18.5,25,18.5,23.5,20,20,23.5,23.5,20,
7932694,636,,.MYLANTA SUSP 150 ML BOT *SM*,11,5.5,4.07,5.5,4.07,5.17,4.4,4.4,5.17,5.17,4.4,
7928146,636,,.NALDECON PED DROPS (NALDELATE),83,41.5,30.71,41.5,30.71,39.01,33.2,33.2,39.01,39.01,33.2,
7939993,636,,.NAPHCON A OPTH,15,7.5,5.55,7.5,5.55,7.05,6,6,7.05,7.05,6,
7922248,636,,.NAPROSYN (NAPROXEN): 375 MG TAB,6,3,2.22,3,2.22,2.82,2.4,2.4,2.82,2.82,2.4,
7939005,636,,.NAPROSYN(NAPROXEN): 250 MG TAB,4,2,1.48,2,1.48,1.88,1.6,1.6,1.88,1.88,1.6,
7927429,636,J2310,.NARCAN (NALOXONE): 0.4MG/ML  10ML MDV,17,8.5,6.29,8.5,6.29,7.99,6.8,6.8,7.99,7.99,6.8,
7932386,636,,.NARCAN (NALOXONE): 2 MG SYR,77,38.5,28.49,38.5,28.49,36.19,30.8,30.8,36.19,36.19,30.8,
7927411,636,,.NARCAN NEONATAL (NALOXONE): 0.02 MG/ML,19,9.5,7.03,9.5,7.03,8.93,7.6,7.6,8.93,8.93,7.6,
7940000,636,,.NARDIL (PHENELZINE) 15 MG TAB,6,3,2.22,3,2.22,2.82,2.4,2.4,2.82,2.82,2.4,
7932521,636,,.NASACORT (TRIAMCINOLONE) NASAL INHALER,141,70.5,52.17,70.5,52.17,66.27,56.4,56.4,66.27,66.27,56.4,
7939095,636,,.NATRECOR (NESIRITIDE): 1.5 MG VIAL,992,496,367.04,496,367.04,466.24,396.8,396.8,466.24,466.24,396.8,
7929433,636,,.NAVANE(THIOTHIXENE): 2 MG CAP,4,2,1.48,2,1.48,1.88,1.6,1.6,1.88,1.88,1.6,
7925258,636,,.NEO DECADRON OPTH DR,59,29.5,21.83,29.5,21.83,27.73,23.6,23.6,27.73,27.73,23.6,
7925266,636,,.NEO DECADRON OPTH OI*,26,13,9.62,13,9.62,12.22,10.4,10.4,12.22,12.22,10.4,
7938780,636,,.NEOSPORIN 0.5 OZ OINT,8,4,2.96,4,2.96,3.76,3.2,3.2,3.76,3.76,3.2,
7931025,636,,.NEOSPORIN G.U. IRRIGANT AMPULE,36,18,13.32,18,13.32,16.92,14.4,14.4,16.92,16.92,14.4,
7940141,636,J2710,.NEOSTIGMINE  5 MG/10ML VIAL,17,8.5,6.29,8.5,6.29,7.99,6.8,6.8,7.99,7.99,6.8,
7925506,636,,.NEO-SYNEP OPTH 2.5%,80,40,29.6,40,29.6,37.6,32,32,37.6,37.6,32,
7938327,636,,.NEO-SYNEPHRINE EX STRENGTH 1% DROP,16,8,5.92,8,5.92,7.52,6.4,6.4,7.52,7.52,6.4,
7932523,636,,.NEOSYNEPHRINE NASAL SOL (PHENYLEPHRINE),8,4,2.96,4,2.96,3.76,3.2,3.2,3.76,3.76,3.2,
7938891,636,,.NEPHRO-VITE TAB,4,2,1.48,2,1.48,1.88,1.6,1.6,1.88,1.88,1.6,
7927569,636,,.NIACIN 100MG TAB,4,2,1.48,2,1.48,1.88,1.6,1.6,1.88,1.88,1.6,
7932183,636,,.NIACIN 500MG TAB,4,2,1.48,2,1.48,1.88,1.6,1.6,1.88,1.88,1.6,
7922818,636,,.NICORETTE GUM,4,2,1.48,2,1.48,1.88,1.6,1.6,1.88,1.88,1.6,
7931363,636,,.NICOTINE 7 MG PATCH,15,7.5,5.55,7.5,5.55,7.05,6,6,7.05,7.05,6,
7927718,636,,.NILSTAT (NYSTATIN) TOP OINT,40,20,14.8,20,14.8,18.8,16,16,18.8,18.8,16,
7927726,636,,.NILSTAT (NYSTATIN) VAG SUPP,88,44,32.56,44,32.56,41.36,35.2,35.2,41.36,41.36,35.2,
7927692,636,,.NILSTAT ORAL TAB,5,2.5,1.85,2.5,1.85,2.35,2,2,2.35,2.35,2,
7932525,636,,.NIMBEX (CISATRACURIUM): 10 MG/5 ML,17,8.5,6.29,8.5,6.29,7.99,6.8,6.8,7.99,7.99,6.8,
7938798,636,,.NIMOTOP (NIMODIPINE): 30 MG CAP,28,14,10.36,14,10.36,13.16,11.2,11.2,13.16,13.16,11.2,
7932832,636,,.NITRO LINGUAL SPRAY *SM*,4,2,1.48,2,1.48,1.88,1.6,1.6,1.88,1.88,1.6,
7927619,636,,.NITROLINGUAL SPRAY,253,126.5,93.61,126.5,93.61,118.91,101.2,101.2,118.91,118.91,101.2,
7932558,636,,.NIZORAL (KETOCONAZOLE) 2% CREAM 30 GM,85,42.5,31.45,42.5,31.45,39.95,34,34,39.95,39.95,34,
7932075,636,,.NIZORAL (KETOCONAZOLE): 1% SHAMPOO *,31,15.5,11.47,15.5,11.47,14.57,12.4,12.4,14.57,14.57,12.4,
7932559,636,,.NIZORAL CREAM 60 GM,129,64.5,47.73,64.5,47.73,60.63,51.6,51.6,60.63,60.63,51.6,
7927791,636,J2360,.NORFLEX (ORPHENADRINE) 60 MG/2ML INJ,72,36,26.64,36,26.64,33.84,28.8,28.8,33.84,33.84,28.8,
7927809,636,,.NORFLEX 100MG TABS*,9,4.5,3.33,4.5,3.33,4.23,3.6,3.6,4.23,4.23,3.6,
7925753,636,,.NORPACE SR 100MG CAP*,4,2,1.48,2,1.48,1.88,1.6,1.6,1.88,1.88,1.6,
7939153,636,,.NOVASOURCE 2.0 CAN,13,6.5,4.81,6.5,4.81,6.11,5.2,5.2,6.11,6.11,5.2,
7939147,636,,.NOVASOURCE RENAL NUTRITION CAN,10,5,3.7,5,3.7,4.7,4,4,4.7,4.7,4,
7927627,636,,.NTG (NITROSTAT) 0.3MG TAB,20,10,7.4,10,7.4,9.4,8,8,9.4,9.4,8,
7938295,636,,.NTG 100 MG INJ,41,20.5,15.17,20.5,15.17,19.27,16.4,16.4,19.27,19.27,16.4,
7920341,636,,.NTG 25MG INJ,29,14.5,10.73,14.5,10.73,13.63,11.6,11.6,13.63,13.63,11.6,
7920820,636,J2300,.NUBAIN (NALBUPHINE): 10 MG INJ,20,10,7.4,10,7.4,9.4,8,8,9.4,9.4,8,
7927403,636,J2300,.NUBAIN (NALBUPHINE): 20 MG INJ,20,10,7.4,10,7.4,9.4,8,8,9.4,9.4,8,
7928336,636,,.NUIRON (POLYSACC IRON COMPLEX) 150 CAP,3,1.5,1.11,1.5,1.11,1.41,1.2,1.2,1.41,1.41,1.2,
7938883,636,,.NYSTATIN 50 MIL UN POWDER 30 GM,72,36,26.64,36,26.64,33.84,28.8,28.8,33.84,33.84,28.8,
7939969,636,,.NYSTATIN ORAL SUSP 16 OZ BOT,2,1,0.74,1,0.74,0.94,0.8,0.8,0.94,0.94,0.8,
7939124,636,,.NYSTOP (NYSTATIN) TOP POWDER 30 GM,27,13.5,9.99,13.5,9.99,12.69,10.8,10.8,12.69,12.69,10.8,
7932283,636,,.ORABASE LIP HEALER,10,5,3.7,5,3.7,4.7,4,4,4.7,4.7,4,
7932284,636,,.ORABASE W/BENZOCAINE,13,6.5,4.81,6.5,4.81,6.11,5.2,5.2,6.11,6.11,5.2,
7922255,636,,.OSCAL 250 MG (CALCIUM/VIT D) TAB,4,2,1.48,2,1.48,1.88,1.6,1.6,1.88,1.88,1.6,
7938330,636,,.PAMELOR(NORTRIPTYLINE): 50 MG CAP,7,3.5,2.59,3.5,2.59,3.29,2.8,2.8,3.29,3.29,2.8,
7939058,636,,.PANAFIL (KOVIA) OINT 30 GM,108,54,39.96,54,39.96,50.76,43.2,43.2,50.76,50.76,43.2,
7922032,636,,.PARAFON FORTE DSC (CHLORZOXASONE) 500MG,6,3,2.22,3,2.22,2.82,2.4,2.4,2.82,2.82,2.4,
7924384,636,,.PARLODEL (BROMOCRIPTINE) 2.5 MG TAB,8,4,2.96,4,2.96,3.76,3.2,3.2,3.76,3.76,3.2,
7938332,636,,.PATANOL  0.1% OPTH DROPS (OLOPATADINE),193,96.5,71.41,96.5,71.41,90.71,77.2,77.2,90.71,90.71,77.2,
7927866,636,,.PAVULON (PANCURONIUM) : 1 MG/ML INJ,9,4.5,3.33,4.5,3.33,4.23,3.6,3.6,4.23,4.23,3.6,
7932222,636,,.PAXIL (PAROCETINE): 30MG TAB,9,4.5,3.33,4.5,3.33,4.23,3.6,3.6,4.23,4.23,3.6,
7938914,636,,.PAXIL CR (PAROXETINE): 12.5 MG,11,5.5,4.07,5.5,4.07,5.17,4.4,4.4,5.17,5.17,4.4,
7938956,636,,.PAXIL CR (PAROXETINE): 25 MG TAB,11,5.5,4.07,5.5,4.07,5.17,4.4,4.4,5.17,5.17,4.4,
7938980,636,,.PEDIA CARE INFANT DROPS,16,8,5.92,8,5.92,7.52,6.4,6.4,7.52,7.52,6.4,
7938984,636,,.PEDIATEX D LIQUID,3,1.5,1.11,1.5,1.11,1.41,1.2,1.2,1.41,1.41,1.2,
7939046,636,,.PEDIATEX DM LIQUID,3,1.5,1.11,1.5,1.11,1.41,1.2,1.2,1.41,1.41,1.2,
7929201,636,,.PEDIAZOLE SUSP,75,37.5,27.75,37.5,27.75,35.25,30,30,35.25,35.25,30,
7923253,636,,.PENICILLIN : 250 MG TAB,6,3,2.22,3,2.22,2.82,2.4,2.4,2.82,2.82,2.4,
7927973,636,,.PENICILLIN VK SUSP 250MG/5ML 100ML BOT,11,5.5,4.07,5.5,4.07,5.17,4.4,4.4,5.17,5.17,4.4,
7938749,636,,.PENLAC TOP SOL 8% 3.3 ML,236,118,87.32,118,87.32,110.92,94.4,94.4,110.92,110.92,94.4,
7932380,636,,.PENTASA (MESALAMINE): 250 MG CAP,6,3,2.22,3,2.22,2.82,2.4,2.4,2.82,2.82,2.4,
7938799,636,,.PEPCID (FAMOTIDINE) 20 MG MB,30,15,11.1,15,11.1,14.1,12,12,14.1,14.1,12,
7932709,636,,.PEPCID (FAMOTIDINE) TAB: 40 MG,15,7.5,5.55,7.5,5.55,7.05,6,6,7.05,7.05,6,
7932710,636,,.PEPCID (FAMOTIDINE): 10 MG/ML MDV,10,5,3.7,5,3.7,4.7,4,4,4.7,4.7,4,
7932672,636,,.PEPTO BISMOL CAPLET (BISMUTH SUB),4,2,1.48,2,1.48,1.88,1.6,1.6,1.88,1.88,1.6,
7927833,636,,.PERCODAN (OXYCODONE/ASA) TAB,6,3,2.22,3,2.22,2.82,2.4,2.4,2.82,2.82,2.4,
7931958,636,,.PERI COLACE(CASANTHRANOL/DOCUSATE)LIQ,3,1.5,1.11,1.5,1.11,1.41,1.2,1.2,1.41,1.41,1.2,
7922198,636,,.PERI COLACE(DOCUSATE/CASANTHRANOL) CAP,4,2,1.48,2,1.48,1.88,1.6,1.6,1.88,1.88,1.6,
7925159,636,,.PERIACTIN (CYPROHEPTADINE) LIQ:2 MG/5ML,3,1.5,1.11,1.5,1.11,1.41,1.2,1.2,1.41,1.41,1.2,
7921174,636,,.PERSANTINE (DIPYRIDAMOLE): 50 MG TAB,4,2,1.48,2,1.48,1.88,1.6,1.6,1.88,1.88,1.6,
7921711,636,,.PERSANTINE (DIPYRIDAMOLE): 75 MG TAB,5,2.5,1.85,2.5,1.85,2.35,2,2,2.35,2.35,2,
1938484,636,,".PHAZYME MAXIMUM STRENGTH: 166 MG, CAPS,",4,2,1.48,2,1.48,1.88,1.6,1.6,1.88,1.88,1.6,
7928559,636,J2550,.PHENERGAN (PROMETHAZINE) INJ: 50 MG AMP,17,8.5,6.29,8.5,6.29,7.99,6.8,6.8,7.99,7.99,6.8,
7928583,636,,.PHENERGAN (PROMETHAZINE) SUPP: 50 MG,17,8.5,6.29,8.5,6.29,7.99,6.8,6.8,7.99,7.99,6.8,
7928591,636,,.PHENERGAN FORT (PROMETH) LIQ: 25MG/5ML,3,1.5,1.11,1.5,1.11,1.41,1.2,1.2,1.41,1.41,1.2,
7922859,636,,.PHENERGAN W/COD LIQUID,3,1.5,1.11,1.5,1.11,1.41,1.2,1.2,1.41,1.41,1.2,
7939183,636,,.PHENERGAN W/COD UD LIQUID 6.25/10 MG/5M,6,3,2.22,3,2.22,2.82,2.4,2.4,2.82,2.82,2.4,
7928047,636,J2560,.PHENOBARB 130MG INJ,20,10,7.4,10,7.4,9.4,8,8,9.4,9.4,8,
7928039,636,J2560,.PHENOBARB 65MG INJ,20,10,7.4,10,7.4,9.4,8,8,9.4,9.4,8,
7922586,636,,.PHENOBARBITAL 20 MG/5 ML LIQ,3,1.5,1.11,1.5,1.11,1.41,1.2,1.2,1.41,1.41,1.2,
7939184,636,,.PHENOBARBITAL 20 MG/5 ML UD LIQUID,6,3,2.22,3,2.22,2.82,2.4,2.4,2.82,2.82,2.4,
7928054,636,,.PHENOBARBITAL TAB :60 MG,6,3,2.22,3,2.22,2.82,2.4,2.4,2.82,2.82,2.4,
7938347,636,,.PHOS-FLUR GEL,29,14.5,10.73,14.5,10.73,13.63,11.6,11.6,13.63,13.63,11.6,
7939991,636,,.PILOPINE HS GEL 4% OPTH (PILOCARPINE),209,104.5,77.33,104.5,77.33,98.23,83.6,83.6,98.23,98.23,83.6,
7922453,636,,.PINK COCKTAIL,3,1.5,1.11,1.5,1.11,1.41,1.2,1.2,1.41,1.41,1.2,
7920374,636,,.PIPRACIL (PIPERACILLIN): 2 GM INJ,51,25.5,18.87,25.5,18.87,23.97,20.4,20.4,23.97,23.97,20.4,
7930225,636,J2543,.PIPRACIL (PIPERACILLIN): 3 GM INJ,77,38.5,28.49,38.5,28.49,36.19,30.8,30.8,36.19,36.19,30.8,
7938816,636,,.PLEXION TS TOPICAL SUSPENSION,168,84,62.16,84,62.16,78.96,67.2,67.2,78.96,78.96,67.2,
7932258,636,90732,.PNEUMOVAX 23 VACCINE,82,41,30.34,41,30.34,38.54,32.8,32.8,38.54,38.54,32.8,
7938935,636,,.PONTOCAINE 1% SPINAL AMP,37,18.5,13.69,18.5,13.69,17.39,14.8,14.8,17.39,17.39,14.8,
7939940,636,,.PRADAXA (DABIGATRAN) 75 MG,16,8,5.92,8,5.92,7.52,6.4,6.4,7.52,7.52,6.4,
7932519,636,,.PRECOSE (ACARBOSE) 50 MG TAB,4,2,1.48,2,1.48,1.88,1.6,1.6,1.88,1.88,1.6,
7932605,636,,.predniSONE INTENSOL 5 MG/ML,57,28.5,21.09,28.5,21.09,26.79,22.8,22.8,26.79,26.79,22.8,
7938313,636,,.PRELONE SYR  20 ML *SM*,3,1.5,1.11,1.5,1.11,1.41,1.2,1.2,1.41,1.41,1.2,
7930662,636,,.PREMARIN 0.3MG TAB,11,5.5,4.07,5.5,4.07,5.17,4.4,4.4,5.17,5.17,4.4,
7920804,636,,.PREMARIN 0.625 MG TAB,5,2.5,1.85,2.5,1.85,2.35,2,2,2.35,2.35,2,
7930589,636,,.PREMARIN 0.9MG TAB,4,2,1.48,2,1.48,1.88,1.6,1.6,1.88,1.88,1.6,
7932112,636,,.PRENATAL VIT,3,1.5,1.11,1.5,1.11,1.41,1.2,1.2,1.41,1.41,1.2,
7938350,636,,.PRENATE ULTRA TAB  *,4,2,1.48,2,1.48,1.88,1.6,1.6,1.88,1.88,1.6,
7939052,636,,.PREVACID IV (LANSOPRAZOLE): 30 MG VIAL,88,44,32.56,44,32.56,41.36,35.2,35.2,41.36,41.36,35.2,
7932848,636,,.PREVACID(LANSOPRAZOLE):15 MG CAPS,16,8,5.92,8,5.92,7.52,6.4,6.4,7.52,7.52,6.4,
7928476,636,J2690,.PROCAINAMIDE: 1 GM VIAL,131,65.5,48.47,65.5,48.47,61.57,52.4,52.4,61.57,61.57,52.4,
7921331,636,,.PROCAN SR (PROCAINAMIDE): 500 MG TAB,4,2,1.48,2,1.48,1.88,1.6,1.6,1.88,1.88,1.6,
7920788,636,,.PROCARDIA (NIFEDIPINE): 10 MG CAP,5,2.5,1.85,2.5,1.85,2.35,2,2,2.35,2.35,2,
7922420,636,,.PROCARDIA (NIFEDIPINE): 20 MG CAP,7,3.5,2.59,3.5,2.59,3.29,2.8,2.8,3.29,3.29,2.8,
7932065,636,,.PROCARDIA XL (NIFEDIPINE): 30 MG TAB BK,7,3.5,2.59,3.5,2.59,3.29,2.8,2.8,3.29,3.29,2.8,
7932287,636,J0885,.PROCRIT (EPOETIN ALPHA) 3000 UNITS/ML,99,49.5,36.63,49.5,36.63,46.53,39.6,39.6,46.53,46.53,39.6,
7931181,636,J0885,.PROCRIT (EPOETIN ALPHA) 4000 UNITS/ML,99,49.5,36.63,49.5,36.63,46.53,39.6,39.6,46.53,46.53,39.6,
7938936,636,J0885,".PROCRIT MDV (EPOETIN) 20,000 UN VIAL",50,25,18.5,25,18.5,23.5,20,20,23.5,23.5,20,
7938931,636,,".PROCRIT SDV (EPOETIN) 40,000 UN/ML",1290,645,477.3,645,477.3,606.3,516,516,606.3,606.3,516,
7930191,636,,.PROLIXIN (FLUPHENAZINE): 1 MG TAB,4,2,1.48,2,1.48,1.88,1.6,1.6,1.88,1.88,1.6,
7930431,636,,.PROPINE (DIPIVEFRIN) OPTH SOL,118,59,43.66,59,43.66,55.46,47.2,47.2,55.46,55.46,47.2,
7931553,636,,.PROVERA 2.5MG TAB,4,2,1.48,2,1.48,1.88,1.6,1.6,1.88,1.88,1.6,
7921521,636,,.PYRIDIUM (PHENAZOPYRIDINE): 200 MG TAB,6,3,2.22,3,2.22,2.82,2.4,2.4,2.82,2.82,2.4,
7923188,636,,.QUIBRON LIQUID,3,1.5,1.11,1.5,1.11,1.41,1.2,1.2,1.41,1.41,1.2,
7928856,636,,.QUINAGLUTE DURATAB (QUIN GLUCONATE) 324,3,1.5,1.11,1.5,1.11,1.41,1.2,1.2,1.41,1.41,1.2,
7928872,636,,.QUINIDINE 300MG TAB,4,2,1.48,2,1.48,1.88,1.6,1.6,1.88,1.88,1.6,
7928880,636,,.QUININE SULFATE 325 MG CAP,4,2,1.48,2,1.48,1.88,1.6,1.6,1.88,1.88,1.6,
7926355,636,90744,.RECOMBIVAX (HEPATITIS B) 5 MCG/ML ADOLE,116,58,42.92,58,42.92,54.52,46.4,46.4,54.52,54.52,46.4,
7932828,636,,.RED COCKTAIL: REGLAN/LIDO VIS/MYL,3,1.5,1.11,1.5,1.11,1.41,1.2,1.2,1.41,1.41,1.2,
7938567,636,J2765,.REGLAN 10 MG DO NOT USE,9,4.5,3.33,4.5,3.33,4.23,3.6,3.6,4.23,4.23,3.6,
7938580,636,,.REGRANEX 0.01% GEL  15 GM,1470,735,543.9,735,543.9,690.9,588,588,690.9,690.9,588,
7932237,636,,.RELAFEN (NABUMETONE): 500 MG TAB,7,3.5,2.59,3.5,2.59,3.29,2.8,2.8,3.29,3.29,2.8,
7939029,636,,.REMERON SOLUTAB (MIRTAZAPINE): 15 MG,11,5.5,4.07,5.5,4.07,5.17,4.4,4.4,5.17,5.17,4.4,
7939127,636,,.RESTASIS 0.05%  OPTH SOL,253,126.5,93.61,126.5,93.61,118.91,101.2,101.2,118.91,118.91,101.2,
7929276,636,,.RESTORIL (TEMAZEPAM):30 MG CAP,6,3,2.22,3,2.22,2.82,2.4,2.4,2.82,2.82,2.4,
7932840,636,J2993,.RETAVASE (RETEPLASE): 10 UN,8513,4256.5,3149.81,4256.5,3149.81,4001.11,3405.2,3405.2,4001.11,4001.11,3405.2,
7932066,636,,.RETIN A CREAM 0.025%        *,90,45,33.3,45,33.3,42.3,36,36,42.3,42.3,36,
7932261,636,,.RETIN A CREAM 0.05%         *,119,59.5,44.03,59.5,44.03,55.93,47.6,47.6,55.93,55.93,47.6,
7932001,636,,.RETIN A GEL 0.01% 15 GM   *,51,25.5,18.87,25.5,18.87,23.97,20.4,20.4,23.97,23.97,20.4,
7932058,636,,.RETIN A GEL 0.01% 45 GM,171,85.5,63.27,85.5,63.27,80.37,68.4,68.4,80.37,80.37,68.4,
7938283,636,,.RETROVIR (ZIDOVUDINE): 100 MG CAP,7,3.5,2.59,3.5,2.59,3.29,2.8,2.8,3.29,3.29,2.8,
7938867,636,,.RHINOCORT AQUA (BUDESONIDE) NASAL SPRAY,222,111,82.14,111,82.14,104.34,88.8,88.8,104.34,104.34,88.8,
8255143,636,J2792,.RHOGAM,242,121,89.54,121,89.54,113.74,96.8,96.8,113.74,113.74,96.8,
7924152,636,,.RIDURA 3MG CAP,6,3,2.22,3,2.22,2.82,2.4,2.4,2.82,2.82,2.4,
