Greene County Health Systems,,,,,,,,,,,,,
Shoppable Services Worksheet,,,,,,,,,,,,,
Updated 5/31/22,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,Insurance Name,Cash Price,Aetna,BCBS Alabama,Humana,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
255,GC/CHLM DNA PROBE,87800,Laboratory and Pathology Services, $152.85 , $53.50 , $114.63 , $114.63 , $106.99 , $56.55 , $53.50 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
256,"C-PEPTIDE, SERUM",84681,Laboratory and Pathology Services, $72.84 , $25.49 , $54.63 , $54.63 , $50.98 , $26.95 , $25.49 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
257,US ABD RUQ,76705,Radiology Services, $546.03 , $191.11 , $409.52 , $409.52 , $382.22 , $202.03 , $191.11 ,,,
,Physician Service,76705,Not Provided by Hospital, $85.14 , $29.80 , $63.86 , $63.86 , $59.60 , $31.50 , $29.80 ,,,
258,US ART EXT UNILATERAL W/ ABI,93926,Radiology Services, $625.00 , $218.75 , $468.75 , $468.75 , $437.50 , $231.25 , $218.75 ,,,
,Physician Service,,Not Provided by Hospital, Billed by Provider ,,,,,,,,,
259,PT PROSTHETIC TRAINING,97761,Therapy Services, $48.00 , $16.80 , $36.00 , $36.00 , $33.60 , $17.76 , $16.80 ,,,
260,PT PARAFFIN BATH,97018,Therapy Services, $25.00 , $8.75 , $18.75 , $18.75 , $17.50 , $9.25 , $8.75 ,,,
261,CT SOFT TISSUE NECK W CONTRAST,70491,Radiology Services," $1,501.00 ", $525.35 ," $1,125.75 "," $1,125.75 "," $1,050.70 ", $555.37 , $525.35 ,,,
,Physician Service,70491,Not Provided by Hospital, $195.75 , $68.51 , $146.81 , $146.81 , $137.03 , $72.43 , $68.51 ,,,
262,CT ABDOMEN WO CONTRAST,74150,Radiology Services," $1,103.00 ", $386.05 , $827.25 , $827.25 , $772.10 , $408.11 , $386.05 ,,,
,Physician Service,74150,Not Provided by Hospital, $169.35 , $59.27 , $127.01 , $127.01 , $118.55 , $62.66 , $59.27 ,,,
263,OBS DISCHARGE,99217,Medicine and Surgery Services, $85.00 , $29.75 , $63.75 , $63.75 , $59.50 , $31.45 , $29.75 ,,,
264,INPT DISCHARGE CARE LEVEL 1,99238,Medicine and Surgery Services, $90.00 , $31.50 , $67.50 , $67.50 , $63.00 , $33.30 , $31.50 ,,,
265,ANKLE LT 2 V,73600,Radiology Services, $185.00 , $64.75 , $138.75 , $138.75 , $129.50 , $68.45 , $64.75 ,,,
,Physician Service,73600,Not Provided by Hospital, $24.21 , $8.47 , $18.16 , $18.16 , $16.95 , $8.96 , $8.47 ,,,
266,ELBOW RT 2 V,73070,Radiology Services, $185.00 , $64.75 , $138.75 , $138.75 , $129.50 , $68.45 , $64.75 ,,,
,Physician Service,73070,Not Provided by Hospital, $24.21 , $8.47 , $18.16 , $18.16 , $16.95 , $8.96 , $8.47 ,,,
267,FACIAL BONES 2V OR 3 V,70140,Radiology Services, $185.00 , $64.75 , $138.75 , $138.75 , $129.50 , $68.45 , $64.75 ,,,
,Physician Service,70140,Not Provided by Hospital, $29.22 , $10.23 , $21.92 , $21.92 , $20.45 , $10.81 , $10.23 ,,,
268,FOOT 2V LT,73620,Radiology Services, $185.00 , $64.75 , $138.75 , $138.75 , $129.50 , $68.45 , $64.75 ,,,
,Physician Service,73620,Not Provided by Hospital, $22.35 , $7.82 , $16.76 , $16.76 , $15.65 , $8.27 , $7.82 ,,,
269,HEEL RT,73650,Radiology Services, $185.00 , $64.75 , $138.75 , $138.75 , $129.50 , $68.45 , $64.75 ,,,
,Physician Service,73650,Not Provided by Hospital, $23.28 , $8.15 , $17.46 , $17.46 , $16.30 , $8.61 , $8.15 ,,,
270,HIPS BILATERAL 3-4V,73522,Radiology Services, $261.00 , $91.35 , $195.75 , $195.75 , $182.70 , $96.57 , $91.35 ,,,
,Physician Service,73522,Not Provided by Hospital, $42.48 , $14.87 , $31.86 , $31.86 , $29.74 , $15.72 , $14.87 ,,,
271,KNEE 2V LT,73560,Radiology Services, $156.00 , $54.60 , $117.00 , $117.00 , $109.20 , $57.72 , $54.60 ,,,
,Physician Service,73560,Not Provided by Hospital, $24.21 , $8.47 , $18.16 , $18.16 , $16.95 , $8.96 , $8.47 ,,,
272,NASAL BONES,70160,Radiology Services, $156.00 , $54.60 , $117.00 , $117.00 , $109.20 , $57.72 , $54.60 ,,,
,Physician Service,70160,Not Provided by Hospital, $25.26 , $8.84 , $18.95 , $18.95 , $17.68 , $9.35 , $8.84 ,,,
273,PATELLA RT,73564,Radiology Services, $175.48 , $61.42 , $131.61 , $131.61 , $122.84 , $64.93 , $61.42 ,,,
,Physician Service,73564,Not Provided by Hospital, $32.37 , $11.33 , $24.28 , $24.28 , $22.66 , $11.98 , $11.33 ,,,
274,PELVIS AP/FROG,72190,Radiology Services, $175.48 , $61.42 , $131.61 , $131.61 , $122.84 , $64.93 , $61.42 ,,,
,Physician Service,72190,Not Provided by Hospital, $36.42 , $12.75 , $27.32 , $27.32 , $25.49 , $13.48 , $12.75 ,,,
275,ALDOSTERONE,84436,Laboratory and Pathology Services, $24.05 , $8.42 , $18.03 , $18.03 , $16.83 , $8.90 , $8.42 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
276,URINE CREATININE CLEARANCE (24HR),84436,Laboratory and Pathology Services, $24.05 , $8.42 , $18.03 , $18.03 , $16.83 , $8.90 , $8.42 ,,,
277,ESTRADIAL,84436,Laboratory and Pathology Services, $24.05 , $8.42 , $18.03 , $18.03 , $16.83 , $8.90 , $8.42 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
278,"URINE IFE AND PE, RANDOM",84436,Laboratory and Pathology Services, $24.05 , $8.42 , $18.03 , $18.03 , $16.83 , $8.90 , $8.42 ,,,
279,"LH (LUTEINIZING HORMONE), SERUM",84436,Laboratory and Pathology Services, $24.05 , $8.42 , $18.03 , $18.03 , $16.83 , $8.90 , $8.42 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
280,RENIN ACTIVITY AND ALDOSTERONE,84436,Laboratory and Pathology Services, $24.05 , $8.42 , $18.03 , $18.03 , $16.83 , $8.90 , $8.42 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
281,ID URINE CULTURES,87088,Laboratory and Pathology Services, $28.32 , $9.91 , $21.24 , $21.24 , $19.82 , $10.48 , $9.91 ,,,
282,LDH,83615,Laboratory and Pathology Services, $21.14 , $7.40 , $15.86 , $15.86 , $14.80 , $7.82 , $7.40 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
283,MONO TEST,86308,Laboratory and Pathology Services, $18.13 , $6.35 , $13.60 , $13.60 , $12.69 , $6.71 , $6.35 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
284,SGOT (AST),84450,Laboratory and Pathology Services, $39.00 , $13.65 , $29.25 , $29.25 , $27.30 , $14.43 , $13.65 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
285,MYOGLOBIN,83874,Laboratory and Pathology Services, $37.00 , $12.95 , $27.75 , $27.75 , $25.90 , $13.69 , $12.95 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
286,LITHIUM,84436,Laboratory and Pathology Services, $24.05 , $8.42 , $18.03 , $18.03 , $16.83 , $8.90 , $8.42 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
287,LYME DISEASE TITER,84436,Laboratory and Pathology Services, $24.05 , $8.42 , $18.03 , $18.03 , $16.83 , $8.90 , $8.42 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
288,US CAROTID,93880,Radiology Services, $609.99 , $213.50 , $457.49 , $457.49 , $426.99 , $225.70 , $213.50 ,,,
,Physician Service,,Not Provided by Hospital, Billed by Provider ,,,,,,,,,
289,US NON VASCULAR SOFT TISSUE,76881,Radiology Services, $375.00 , $131.25 , $281.25 , $281.25 , $262.50 , $138.75 , $131.25 ,,,
,Physician Service,76881,Not Provided by Hospital, $90.18 , $31.56 , $67.64 , $67.64 , $63.13 , $33.37 , $31.56 ,,,
290,US PELVIC,76856,Radiology Services, $625.00 , $218.75 , $468.75 , $468.75 , $437.50 , $231.25 , $218.75 ,,,
,Physician Service,76856,Not Provided by Hospital, $99.33 , $34.77 , $74.50 , $74.50 , $69.53 , $36.75 , $34.77 ,,,
291,US BLADDER POST VOIDING,51798,Medicine and Surgery Services, $125.00 , $43.75 , $93.75 , $93.75 , $87.50 , $46.25 , $43.75 ,,,
292,PT WHEELCHAIR  TRAINING,97542,Therapy Services, $38.00 , $13.30 , $28.50 , $28.50 , $26.60 , $14.06 , $13.30 ,,,
293,ULTRASOUND,97035,Therapy Services, $30.00 , $10.50 , $22.50 , $22.50 , $21.00 , $11.10 , $10.50 ,,,
294,APPLICATION LONG ARM SPLINT,29105,Medicine and Surgery Services, $409.20 , $143.22 , $306.90 , $306.90 , $286.44 , $151.40 , $143.22 ,,,
295,IV INFUSION THER/PRO DAG CONCURRENT INFU,96368,Medicine and Surgery Services, $122.00 , $42.70 , $91.50 , $91.50 , $85.40 , $45.14 , $42.70 ,,,
296,INCISION/REMOVAL FB,10120,Medicine and Surgery Services, $350.00 , $122.50 , $262.50 , $262.50 , $245.00 , $129.50 , $122.50 ,,,
297,SIMPLE REPAIR SCALP/NECK/EXT 2.6-7.5 CM,12002,Medicine and Surgery Services, $352.43 , $123.35 , $264.32 , $264.32 , $246.70 , $130.40 , $123.35 ,,,
298,LACERATION REPAIR,12005,Medicine and Surgery Services, $245.00 , $85.75 , $183.75 , $183.75 , $171.50 , $90.65 , $85.75 ,,,
299,CRITICAL CARE FIRST 30-74 MINUTES,99291,Medicine and Surgery Services," $1,102.43 ", $385.85 , $826.82 , $826.82 , $771.70 , $407.90 , $385.85 ,,,
300,CLAVICLE RT,73000,Radiology Services, $185.00 , $64.75 , $138.75 , $138.75 , $129.50 , $68.45 , $64.75 ,,,
,Physician Service,73000,Not Provided by Hospital, $24.21 , $8.47 , $18.16 , $18.16 , $16.95 , $8.96 , $8.47 ,,,
301,CLAVICLE LT,73000,Radiology Services, $185.00 , $64.75 , $138.75 , $138.75 , $129.50 , $68.45 , $64.75 ,,,
,Physician Service,73000,Not Provided by Hospital, $24.21 , $8.47 , $18.16 , $18.16 , $16.95 , $8.96 , $8.47 ,,,
302,HEEL LT,73650,Radiology Services, $185.00 , $64.75 , $138.75 , $138.75 , $129.50 , $68.45 , $64.75 ,,,
,Physician Service,73650,Not Provided by Hospital, $23.28 , $8.15 , $17.46 , $17.46 , $16.30 , $8.61 , $8.15 ,,,
303,FEMUR MIN 2 V LT,73552,Radiology Services, $185.00 , $64.75 , $138.75 , $138.75 , $129.50 , $68.45 , $64.75 ,,,
,Physician Service,73552,Not Provided by Hospital, $26.31 , $9.21 , $19.73 , $19.73 , $18.42 , $9.73 , $9.21 ,,,
304,HUMERUS RT,73060,Radiology Services, $185.00 , $64.75 , $138.75 , $138.75 , $129.50 , $68.45 , $64.75 ,,,
,Physician Service,73060,Not Provided by Hospital, $24.21 , $8.47 , $18.16 , $18.16 , $16.95 , $8.96 , $8.47 ,,,
305,ORBIT LT,70200,Radiology Services, $175.48 , $61.42 , $131.61 , $131.61 , $122.84 , $64.93 , $61.42 ,,,
,Physician Service,70200,Not Provided by Hospital, $40.50 , $14.18 , $30.38 , $30.38 , $28.35 , $14.99 , $14.18 ,,,
306,RIBS BILATERAL COMP W PA CHEST,71111,Radiology Services, $361.00 , $126.35 , $270.75 , $270.75 , $252.70 , $133.57 , $126.35 ,,,
,Physician Service,71111,Not Provided by Hospital, $45.63 , $15.97 , $34.22 , $34.22 , $31.94 , $16.88 , $15.97 ,,,
307,SCAPULA RT,73010,Radiology Services, $156.00 , $54.60 , $117.00 , $117.00 , $109.20 , $57.72 , $54.60 ,,,
,Physician Service,73010,Not Provided by Hospital, $26.19 , $9.17 , $19.64 , $19.64 , $18.33 , $9.69 , $9.17 ,,,
308,SHOULDER LT COMPLETE,73030,Radiology Services, $210.00 , $73.50 , $157.50 , $157.50 , $147.00 , $77.70 , $73.50 ,,,
,Physician Service,73030,Not Provided by Hospital, $27.24 , $9.53 , $20.43 , $20.43 , $19.07 , $10.08 , $9.53 ,,,
309,SKULL 2 V,70250,Radiology Services, $156.00 , $54.60 , $117.00 , $117.00 , $109.20 , $57.72 , $54.60 ,,,
,Physician Service,70250,Not Provided by Hospital, $26.31 , $9.21 , $19.73 , $19.73 , $18.42 , $9.73 , $9.21 ,,,
310,WRIST 2V RT,73100,Radiology Services, $156.00 , $54.60 , $117.00 , $117.00 , $109.20 , $57.72 , $54.60 ,,,
,Physician Service,73100,Not Provided by Hospital, $24.21 , $8.47 , $18.16 , $18.16 , $16.95 , $8.96 , $8.47 ,,,
311,"C3 COMPLEMENT, SERUM",84436,Laboratory and Pathology Services, $24.05 , $8.42 , $18.03 , $18.03 , $16.83 , $8.90 , $8.42 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
312,"C4 COMPLEMENT, SERUM",84436,Laboratory and Pathology Services, $24.05 , $8.42 , $18.03 , $18.03 , $16.83 , $8.90 , $8.42 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
313,"CORTISOL, SERUM",84436,Laboratory and Pathology Services, $24.05 , $8.42 , $18.03 , $18.03 , $16.83 , $8.90 , $8.42 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
314,FSH,84436,Laboratory and Pathology Services, $24.05 , $8.42 , $18.03 , $18.03 , $16.83 , $8.90 , $8.42 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
315,"BETA HCG QUANT, SERUM",84436,Laboratory and Pathology Services, $24.05 , $8.42 , $18.03 , $18.03 , $16.83 , $8.90 , $8.42 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
316,HEPATITIS DIAGNOSTIC PROFILE,84436,Laboratory and Pathology Services, $24.05 , $8.42 , $18.03 , $18.03 , $16.83 , $8.90 , $8.42 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
317,"IFE AND PROTEIN ELECT, SERUM",84436,Laboratory and Pathology Services, $24.05 , $8.42 , $18.03 , $18.03 , $16.83 , $8.90 , $8.42 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
318,"IMMUNOFIXATION, (IGG,IGA,IGM) SERUM",84436,Laboratory and Pathology Services, $24.05 , $8.42 , $18.03 , $18.03 , $16.83 , $8.90 , $8.42 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
319,URINE 24HR TOTAL PROTEIN,84156,Laboratory and Pathology Services, $12.85 , $4.50 , $9.63 , $9.63 , $8.99 , $4.75 , $4.50 ,,,
320,"VARICELLA-ZOSTER V Ab, IgG",84436,Laboratory and Pathology Services, $24.05 , $8.42 , $18.03 , $18.03 , $16.83 , $8.90 , $8.42 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
321,ALKALINE PHOSPHATE,84075,Laboratory and Pathology Services, $33.00 , $11.55 , $24.75 , $24.75 , $23.10 , $12.21 , $11.55 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
322,BLOOD GROUP,86900,Laboratory and Pathology Services, $24.00 , $8.40 , $18.00 , $18.00 , $16.80 , $8.88 , $8.40 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
323,RH,86901,Laboratory and Pathology Services, $24.00 , $8.40 , $18.00 , $18.00 , $16.80 , $8.88 , $8.40 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
324,CROSSMATCH SENDOUT (1 UNIT),86922,Laboratory and Pathology Services, $575.00 , $201.25 , $431.25 , $431.25 , $402.50 , $212.75 , $201.25 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
325,GRAM STAIN,87205,Laboratory and Pathology Services, $14.95 , $5.23 , $11.21 , $11.21 , $10.46 , $5.53 , $5.23 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
326,SODIUM SERUM,84295,Laboratory and Pathology Services, $19.00 , $6.65 , $14.25 , $14.25 , $13.30 , $7.03 , $6.65 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
327,STOOL WBC,89055,Laboratory and Pathology Services, $14.95 , $5.23 , $11.21 , $11.21 , $10.46 , $5.53 , $5.23 ,,,
328,"C-REACTIVE PROTEIN, CARDIAC",86141,Laboratory and Pathology Services, $45.33 , $15.86 , $33.99 , $33.99 , $31.73 , $16.77 , $15.86 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
329,"DHEA, SERUM",82626,Laboratory and Pathology Services, $88.45 , $30.96 , $66.34 , $66.34 , $61.92 , $32.73 , $30.96 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
330,HEP B SURFACE Ab,86706,Laboratory and Pathology Services, $37.59 , $13.16 , $28.19 , $28.19 , $26.31 , $13.91 , $13.16 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
331,US RENAL GENERAL,76770,Radiology Services, $504.09 , $176.43 , $378.07 , $378.07 , $352.86 , $186.51 , $176.43 ,,,
,Physician Service,76770,Not Provided by Hospital, $105.48 , $36.92 , $79.11 , $79.11 , $73.84 , $39.03 , $36.92 ,,,
332,US THYROID,76536,Radiology Services, $425.00 , $148.75 , $318.75 , $318.75 , $297.50 , $157.25 , $148.75 ,,,
,Physician Service,76536,Not Provided by Hospital, $81.99 , $28.70 , $61.49 , $61.49 , $57.39 , $30.34 , $28.70 ,,,
333,PT RE-EVALUATION,97164,Therapy Services, $40.00 , $14.00 , $30.00 , $30.00 , $28.00 , $14.80 , $14.00 ,,,
334,NEGATIVE PRESSURE WOULD THER > 50 SQ CM,97606,Therapy Services, $125.00 , $43.75 , $93.75 , $93.75 , $87.50 , $46.25 , $43.75 ,,,
335,PT EVAL HIGH COMPLEXITY,97163,Therapy Services, $150.00 , $52.50 , $112.50 , $112.50 , $105.00 , $55.50 , $52.50 ,,,
336,TET TOXOID A,J1670,Medicine and Surgery Services, $425.00 , $148.75 , $318.75 , $318.75 , $297.50 , $157.25 , $148.75 ,,,
337,CT HEAD/BRAIN W&WO CONTRAST,70470,Radiology Services," $1,636.00 ", $572.60 ," $1,227.00 "," $1,227.00 "," $1,145.20 ", $605.32 , $572.60 ,,,
,Physician Service,70470,Not Provided by Hospital, $180.51 , $63.18 , $135.38 , $135.38 , $126.36 , $66.79 , $63.18 ,,,
338,CT MAXILLOFACIAL W&WO CONTRAST,70488,Radiology Services," $1,636.00 ", $572.60 ," $1,227.00 "," $1,227.00 "," $1,145.20 ", $605.32 , $572.60 ,,,
,Physician Service,70488,Not Provided by Hospital, $180.51 , $63.18 , $135.38 , $135.38 , $126.36 , $66.79 , $63.18 ,,,
339,CT SOFT TISSUE NECK WO CONTRAST,70490,Radiology Services," $1,103.00 ", $386.05 , $827.25 , $827.25 , $772.10 , $408.11 , $386.05 ,,,
,Physician Service,70490,Not Provided by Hospital, $181.56 , $63.55 , $136.17 , $136.17 , $127.09 , $67.18 , $63.55 ,,,
340,CT ABDOMEN W & WO CONTRAST,74170,Radiology Services," $1,636.00 ", $572.60 ," $1,227.00 "," $1,227.00 "," $1,145.20 ", $605.32 , $572.60 ,,,
,Physician Service,74170,Not Provided by Hospital, $198.81 , $69.58 , $149.11 , $149.11 , $139.17 , $73.56 , $69.58 ,,,
341,CT ABDOMEN W CONTRAST,74160,Radiology Services," $1,501.00 ", $525.35 ," $1,125.75 "," $1,125.75 "," $1,050.70 ", $555.37 , $525.35 ,,,
,Physician Service,74160,Not Provided by Hospital, $180.51 , $63.18 , $135.38 , $135.38 , $126.36 , $66.79 , $63.18 ,,,
342,CT ABD/PEL W/WO,74178,Radiology Services," $2,905.00 "," $1,016.75 "," $2,178.75 "," $2,178.75 "," $2,033.50 "," $1,074.85 "," $1,016.75 ",,,
,Physician Service,74178,Not Provided by Hospital, $286.02 , $100.11 , $214.52 , $214.52 , $200.21 , $105.83 , $100.11 ,,,
343,ST EVALUATION 30 MIN,92522,Therapy Services, $265.00 , $92.75 , $198.75 , $198.75 , $185.50 , $98.05 , $92.75 ,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
