CLAY COUNTY HOSPITAL,,,
CHARGEMASTER,,,
,,,
DESCRIPTION,CPT CD,CHARGE,
LICEFREE SPRAY,,20,
LIDOCAINE & PRILOCAINE CREAM 2.5%  5GM,,11,
LIDOCAINE (LIDODERM) PATCH   CH/PATCH,,20.63,
LIDOCAINE 0.4% (GM 1) PREMIX ABBOTT,J2001,42,
LIDOCAINE 0.4% (GM 2) PREMIX ABBOTT,J2001,60,
LIDOCAINE 1%  10MG/ML ch/1,,25,
LIDOCAINE 1% 5ML INJ,,19,
LIDOCAINE 1% MPF TOPICAL 2ML AMPS,,23,
LIDOCAINE 1% W/EPI  MDV CH/1,,22,
LIDOCAINE 1% W/EPI 20ML VIAL,,19,
LIDOCAINE 1%AMP 2ML,,25,
LIDOCAINE 1%VIAL  10MG/ML INJ 10ML,,25,
LIDOCAINE 1%VIAL  10MG/ML INJ 20ML,,25,
LIDOCAINE 2% (CRASH CART),J3480,35,
LIDOCAINE 2% 100MG/5ML SYR {CRASH CART},J3480,35,
LIDOCAINE 2% JELLY CH/GM  30GM,,1.7,
LIDOCAINE 2% VIAL  20MG/ML INJ 10ML,,25,
LIDOCAINE 2% VIAL  20MG/ML INJ 5ML,,25,
LIDOCAINE 2% VIAL  20MG/ML INJ ch/1,,25,
LIDOCAINE 2% VISCOUS CHG /ML,,0.8,
LIDOCAINE 2% W/EPI 30ML MVD VIAL,,19,
LIDOCAINE 4% MPF TOPICAL 5ML AMPS CH/1,,28,
LIDOCAINE 5% OINTMENT *CH/TUBE,,35,
LIDOCAINE INJ WITH EPI 2% 30ML,,19,
LIDOCAINE JELLY 2% 10ML URO-JET,,20,
LIDOCAINE JELLY 2% 5ML URO-JET ch/1,,14,
LIDOCAINE-HYDROCORTISONE CREAM 3%-0.5%,,1076.1,
LIDODERM PATCH   CH/PATCH,,20.63,
LIGATION OR TRANSECTION OF FALLOPIAN TUB,58600,6254,
LIGATURE MERSILENE RS22,,76,
LINEZOLID (ZYVOX) TAB  600MG,,8,
LINZESS 72mcg CAP,,30,
LINZESS CAP 145MCG UD,,42,
LINZESS CAP 290MCG U/D,,18,
LIOTHYRONINE 5MCG TAB,,6,
LIP BALM,,6,
LIPID CASCADE REFLEX TO APO-B  ID 152174,80061,46,
LIPITOR 10MG TAB {ATORVASTATIN},,8,
LIPITOR 20MG TAB (ATORVASTATIN),,10,
LIPITOR 40MG TAB {ATORVASTATIN},,10,
LIPITOR 80MG TAB {ATORVASTATIN},,10,
LIPO-FLAVONOID PLUS CAPLET,,6,
LIQUID WART REMOVER CH1,,5,
LISINOPRIL (ZESTRIL) TAB   20MG UD,,6,
LISINOPRIL {ZESTARIL} TAB  40MG UD,,6,
LISINOPRIL {ZESTRIL} TAB   10MG  UD,,6,
LISINOPRIL {ZESTRIL} TAB  5MG UD,,6,
LISINOPRIL 2.5MG TAB,,6,
LISINOPRIL 20MG TAB,,6,
LISINOPRIL 5MG TAB  {ZESTRIL},,6,
LISINOPRIL/HCTZ (ZESTORETIC) 20/12.5  UD,,6,
LISINOPRIL/HCTZ {ZESTORETIC 10/12.5MG UD,,6,
LISINOPRIL/HCTZ TAB  20MG/25MG  UD,,6,
LITHIUM 150MG,,4,
LITHIUM 300MG CAPS {ESKALITH} UD,,6,
LITTLE NOSES DECONGESTANT NOSE DROPS CH1,,8,
LIVER-KIDNEY MICROSOMAL AB   ID 152672,86376,71,
LMX 4 % (LIDOCAINE CR)15GM/CHG/GM,,35,
LODINE 400MG TAB (ETODOLAC),,5,
LODRANE 12 HOUR ER {BROMPHEN 6MG} TAB,,6,
LODRANE 24 CAPS,,6,
LODRANE 24D CAPS,,6,
LODRANE D 4MG/60MG (BROMPH/PSEUDO) CAP,,6,
LOESTRIN 24 Fe  28TABS  CH/TAB,,6,
LOMOTIL LIQUID 2 OZ (PER ML},,0.7,
LOPERAMIDE (IMMODIUM) 2MG CAPLET (NH),,1,
LOPERAMIDE {IMODIUM) CAP 2 MG UD,,6,
LORATADINE  {CLARITIN} TAB  10MG UD,,6,
LORazepam {ATIVAN} INJ   2MG/ML 1ML UD,J2060,22,
LORazepam {ATIVAN} TAB   0.5MG UD,,7,
LORazepam {ATIVAN} TAB   1MG UD,,7,
LORazepam {ATIVAN} TAB   2MG UD,,6,
LORazepam 2MG/ML ORAL CONC 30ML  CH/ML,,2.85,
LORazepam 2MG/ML ORAL INTENSOL:CH/BT,,89.75,
LOSARTAN (Cozaar) TAB 100MG UD,,6,
LOSARTAN (Cozaar) TAB 25MG,,4,
LOSARTAN (Cozaar) TAB 50MG  UD,,6,
LOSARTAN-HCTZ  {HYZAAR} 100MG/12.5MG T,,6,
LOSARTAN-HCTZ {HYZAAR}  100MG/25MG UD,,6,
LOSARTAN-HCTZ {HYZAAR}  50MG/12.5MG UD,,6,
LOTEMAX OPHTH SUSP 0.5%   10ML  CH/ML,,10,
LOTEMAX OPHTH SUSP 0.5%   5ML  CH/ML,,30,
LOTENSIN {BENAZEPRIL} TAB 20MG (GEN),,4.25,
LOTENSIN {BENAZEPRIL} TAB 40MG (gen),,4,
LOTENSIN {BENAZEPRIL} TAB 5MG (GEN),,6,
LOTION,,6,
LOVASTATIN {Mevacor}  20MG,,6,
LOVASTATIN {Mevacor}  TAB  40MG,,6,
LOVAZA CAPSULE (OMEGA-3-ACID ETHYL ESTER,,6,
LOVENOX 100MG INJ  CHG/INJ,J1650,200,
LOVENOX 30MG INJ CH/INJ,J1650,122.5,
LOVENOX 40MG INJ  CH/INJ,J1650,122.5,
LOVENOX 60MG INJ   CHG/INJ,J1650,122.5,
LOVENOX 80MG INJ  CHG/INJ,J1650,122.5,
LOW-OGESTREL 28  {LO/OVRAL-28},,33,
LOXAPINE 10MG CAP,,4,
LUBRIDERM LOTION,,16,
LUBRI-FRESH PM EYE OINT CH/GM,,17,
LUMBAR PUNCTURE,62270,775,
LUMIGAN OPHTH SOLN 0.01% 2.5ML CH/ML,,231,
LUMIGAN OPHTH SOLN 0.01% 5ML CH/ML,,143,
LUMIGAN OPHTH SOLN 0.03%   2.5ML CH/ML,,100,
LUNESTA TAB 1MG,,8,
LUNESTA TABS  3MG UD,,15,
LUPRON DEPOT 7.5MG 1 MONTH INJECTION,J9217,2988.5,
LUTERA 0.1/0.02MG CH/TAB,,4,
LYR CLSR FCE/EYELD/ERS/NS/LPS/MM > 30CM,12057,839,
LYR CLSR FCE/EYELD/ERS/NS/LPS/MM 2.5CM <,12051,330,
LYR CLSR FCE/EYELD/ERS/NS/LPS/MM 2.6/5CM,12052,359,
LYR CLSR FCE/EYELD/ERS/NS/LPS/MM 5.1/7.5,12053,400,
LYR CLSR FCE/EYELD/ERS/NS/LPS/MM12.6/20,12055,588,
LYR CLSR FCE/EYELD/ERS/NS/LPS/MM20.1/30,12056,717,
LYR CLSR FCE/EYELD/ERS/NS/LPS/MM7.6/12.5,12054,446,
LYR CLSR WND/NK/HND/FT/EXT GEN >30CM,12047,670,
LYR CLSR WND/NK/HND/FT/EXT GEN 12.6/20CM,12045,509,
LYR CLSR WND/NK/HND/FT/EXT GEN 2.5 <,12041,284,
LYR CLSR WND/NK/HND/FT/EXT GEN 2.6/7.5CM,12042,354,
LYR CLSR WND/NK/HND/FT/EXT GEN 20.1/30CM,12046,608,
LYR CLSR WND/SCLP/AXL/TRNK/EX/EX 2.5CM <,12031,261,
LYR CLSR WND/SCLP/AXL/TRNK/EX/EX 7.3-12C,12034,736,
LYR CLSR WND/SCLP/AXL/TRNK/EX/EX 7.6/12.,12034,377,
LYR CLSR WND/SCLP/AXL/TRNK/EX/EX12.6/20C,12035,486,
LYR CLSR WND/SCLP/AXL/TRNK/EX/EX2.6/7.5,12032,365,
LYR CLSR WND/SCLP/AXL/TRNK/EX/EX20.1/30C,12036,561,
LYR CLSR WND/SCLP/AXL/TRNK/EX/EXT >30CM,12037,654,
LYRICA  CAP  75MG UD,,18.3,
LYRICA 300MG CAP,,6,
LYRICA CAP   150MG UD,,10.5,
LYRICA CAP  100MG UD,,12,
LYRICA CAP  50MG UD,,17,
LYSIS OF ADHESIONS,44180,7153,
LYSIS PENILE ADHESIONS,54162,3534,
MAG DUEL ANTIBODY   ID152604,83520,416,
"MAGIC MOUTHWASH {MAAL,BEN,NYSTA,VIS LID}",,18.1,
MAGNESIUM - 24 HOUR URINE   ID 6940,83735,31,
MAGNESIUM OXIDE (MAG-OX) TAB  400MG UD,,6,
MAGNESIUM SO4 INJ  1GM/D5W 100ML,,65,
MAGNESIUM SO4 INJ 5GM/1000 ML D5W,,26,
MAGNESIUM SULFATE 1GM/2ML INJ,,25,
MAG-SR {MAGNESIUM} TAB   64MG,,6,
MAG-TAB SR 12HR TAB   84MG UD,,6,
MAJOR INSTRUMENT TRAY,,300,
MAJOR OPEN SURGERY ADDITIONAL 1/2 HOUR,,277,
MAJOR OPEN SURGERY FIRST 1/2 HOUR,,1731,
MALARIA SMEAR   ID 6941,87207,55,
MANIPULATE KNEE UNDER ANES,27570,3162,
MANIPULATION SHOULDER UNDER ANES,23700,3018,
MANNITOL 25% VIAL 50 ML,J2150,19,
MANOMETER DISP.,,7,
MANUAL THERAPY TECH EA 15 MIN,97140GP,82,
MANUAL THERAPY TECH EA 15 MIN,97140GP,82,
MARCAINE 0.5 % VIAL,,19,
MARKER RULER & SKIN,,7,
MARKER SKIN,,7,
MASK (LMA) CLEAR SIZE 2,,21,
MASK (LMA) CLEAR SIZE 2.5,,21,
MASK (LMA) CLEAR SIZE 3,,18,
MASK (LMA) CLEAR SIZE 4,,18,
MASK (LMA) CLEAR SIZE 5,,30,
MASK 3M MED.,,19,
MASK 3M N95 1860 / 2735 / 8210/ 1870,,5,
MASK ADULT AEROSOL,,4,
MASK ADULT AEROSOL ELONG 3208,,3,
MASK ADULT SIMPLE,,4,
MASK ADULT VITAL SIGNS  5250,,13,
MASK AEROSOL PED.,,5,
MASK BIPAP AE (L) RT040-L,,110,
MASK BIPAP AE (M) RT040-M,,110,
MASK BIPAP AE (S) RT040-S,,110,
MASK BUBBLEGUM TODDLER  4-0107-23,,10,
MASK CHILD SZ 4,,13,
MASK CHILD SZ 5,,13,
MASK COMFORT FULL II (L) 1004950,,359,
MASK COMFORT FULL II (M) 1004872,,359,
MASK COMFORT FULL II (S) 1004880,,359,
MASK FACE W/LOOPS PER BOX,,11,
MASK INFANT VITAL SIGNS,,10,
MASK NON-REBREATHER ADULT,,6,
MASK OXYGEN ADULT MED. #1041,,5,
MASK PED. AEROSOL,,5,
MASK PED. O2,,5,
MASK REG.ADULT 5250 VITAL SIGNS,,14,
MASK SE (L),,110,
MASK SE (M),,110,
MASK SE (S),,110,
MASK SM ADULT 5240 VITAL SIGNS,,14,
MASK TB 3M 1870 (H1N1),,5,
MASK TODDLER   4-3351-23,,8,
MASK TRACH,,5,
MASK VENTURI,,7,
MASSAGE 15 MINUTES,97124GP,76,
MASSAGE 15 MINUTES,97124GP,76,
MASTECTOMY FOR GYNEROMASTIA,19300,2807,
MASTECTOMY PARTIAL,19301,3243,
"MASTECTOMY, SIMPLE",19303,4982,
MASTOTOMY W/DRAINAGE OF ABSCESS DEEP,19020,2879,
MAXALT 5MG TAB,,47,
MAXALT-MLT 10MG (PER TAB),,47,
MAXARON FORTE,,4,
"MAXIMUM D3 CHOLECALCIFEROL 13,000IU",,6,
MAXORB EXTRA 2X2,,5,
MAXORB EXTRA 4X4.75,,17,
M-CLEAR CH/ML,,0.3,
MDI TREATMENT ADMINISTRATION FEE,94640,436,
MEAT ALLERGENS   ID 152879,86003,8,
MECLIZINE {Antivert} TAB   12.5MG UD,,6,
MECLIZINE {Antivert} TAB   25MG,,6,
MECLIZINE {Antivert} TAB 25MG UD,,6,
MEDERMA SCAR CREAM CH/1,,40,
MEDICAL AIR PER-HOUR,,5,
MEDICATED CHEST RUB (VICK'S VAPORUB) CH1,,5,
MEDICOPASTE (UNNA BOOT),,20,
MEDIHONEY  DRESSING 3.5OZ  CH/TUBE,,96,
MEDIRULE LARGE 6255,,3,
MEDIRULE SMALL 6252,,3,
medroxyPROGESTERone {PROVERA} TAB   10MG,,8,
medroxyPROGESTERone {PROVERA} TAB   5MG,,8,
MEDROXYPROGESTERONE 150MG/ML 1ML VIAL,J1055,96.5,
MEDTIME ORGANIZER,,5.1,
MEGACE 40mg TAB {MEGESTROL} NAMEBRAND,,4,
MEGESTROL {MEGACE} SUSP 40MG/ML PER ML,,1.6,
MEGESTROL {MEGESTROL} TAB 40MG,,6,
MELATONIN 1MG TABLET,,6,
MELATONIN 3MG TABLET,,6,
MELATONIN 5MG TAB,,6,
MELOXICAM  {MOBIC} TAB  15MG  UD,,6,
MELOXICAM  {MOBIC} TAB  7.5MG UD,,6,
MEMANTINE (NAMENDA) TAB 10MG,,12.5,
MEMANTINE (NAMENDA) TAB 5MG,,6,
M-END DM LIQ   60ML UD  {CH 1},,20,
M-END DM LIQ CH/ML,,0.15,
M-END DM*X*   LIQ CH/ML,,0.6,
M-END MAX D  LIQ CH/ML,,0.5,
M-END PE LIQ CH/ML,,0.2,
M-END WC LIQ   60ML UD  {CH 1},,35,
M-END WC LIQ CH/ML,,0.23,
MENOMUNE VACCINE,,250,
MEPERIDINE (DEMEROL) INJ  100MG/ML  UD,J2175,28,
MEPERIDINE {DEMEROL} INJ 50MG/1ML VIAL,,26,
MEPERITAB {DEMEROL} TAB 50MG UD,,6,
MEPHYTON 5MG TAB {PHYTONADIONE} UD,,22,
MEPILEX  Ag  4X4  DRESSING,,23,
MEPILEX BORDER DRESSING 4X4 : CH/DSG,,23,
MEPILEX BORDER DRESSING 6x6 : CH/DSG,,18,
MERCAPTOPURINE TABLET 50MG,,21.54,
MERLIN (DISCONTINUED),,16,
MEROPENEM 1GM IV PUSH,J2185,90,
MEROPENEM 500MG IV PUSH,J2185,85,
MEROPENEM IV 1GM /50ML NS PREDEFINED,,95,
MEROPENEM IV 500MG /50ML NS  PREDEFINED,J2185,80,
MESALAMINE 4GM /60ML,,26,
MESH 10X15-ETHICON PHYSIOMESH,C1781,1186,
MESH 3X5 PROLENE,C1781,192,
MESH 4.3 X 4.3 PROCEED VENTRAL PATCH,C1781,192,
MESH 6.4 X 2.5,C1781,1661,
MESH 6.4 X 6.4 PROCEED VENTRAL,C1781,1661,
MESH 6X6 PROLENE,C1781,128,
MESH BARD SOFT  0117011,,456,
MESH PRE-SHAPED 0112710,C1781,160,
MESH PROCEED 10X15CM,,865,
MESH PROCEED 10X20CM,,1476,
MESH PROCEED 20X25CM,,2339,
MESH PROCEED 2X4,,608,
MESH SURGI ONLAY T613-8S,C1781,723,
MESH TRANSVAGINAL URETHRAL SLING,,1977,
METAMUCIL DOSE TBSP=PACK,,4,
METANX TABS,,6,
METER PEAK FLOW,,36,
METER URINE ONLY,,14,
METER URINE TRAY,,28,
METFORMIN  {GLUCOPHAGE} TAB 500MG UD,,6,
METFORMIN (GLUCOPHAGE) TAB   850MG,,6,
METFORMIN {GLUCOPHAGE} TAB  1000MG UD,,6,
METFORMIN ER {GLUCOPHAGE} TAB  500MG UD,,6,
METFORMIN ER {GLUCOPHAGE} TAB  750MG UD,,6,
METHADONE 10MG TAB (DOLOPHINE) UD,,8,
METHADONE 10MG/ML ORAL CONC CH/ML 30ML,,1.4,
METHIMAZOLE (TAPAZOLE) TAB 10MG,,6,
METHOCARBAMOL (ROBAXIN)  TAB 750MG UD,,6,
METHOCARBAMOL {ROBAXIN} TAB 500MG UD,,6,
METHOTREXATE 2.5MG TABS,J8610,6,
METHOTREXATE 250MG/10ML,,25,
METHOTREXATE 50MG-2ML VIAL 5X2ML,,22,
METHYLDOPA 250MG TAB {ALDOMET},,6,
METHYLIN TAB   10MG,,6,
methylPREDNISOLONE 4MG PACK (21 TABS),J7509,3,
methylPREDNISOLONE ACETATE 80MG/5ML,J1040,34,
METOCLOPRAMIDE  (REGLAN} TAB  10MG  UD,,6,
METOCLOPRAMIDE  {REGLAN} TAB 5MG  UD,,6,
METOCLOPRAMIDE {REGLAN} INJ  10MG/2ML UD,J2765,22,
METOCLOPRAMIDE {REGLAN} TAB 5MG,,6,
metoLAZONE {ZAROXOLYN} TAB 2.5MG UD,,7,
metoLAZONE {ZAROXOLYN} TAB 5MG UD,,6,
METOPROLOL (LOPRESSOR) TAB  25MG,,6,
METOPROLOL / HCTZ  50MG/25MG TAB,,6,
METOPROLOL INJ 5MG/5ML  5ML VIAL UD,,47,
METOPROLOL TART (LOPRESOR) TAB 25MG  UD,,6,
METOPROLOL TART (LOPRESSOR) TAB 100MG,,6,
METOPROLOL TART (LOPRESSOR) TAB 50MG UD,,6,
METOPROLOL XL (TopROL XL} TAB  50MG UD,,6,
METOPROLOL XL {TOPROL XL} TAB  25MG UD,,6,
METOPROLOL XL TAB {TopROL XL} 100MG,,6,
METOPROLOL XL TAB {TopROL XL} 200MG,,6,
METROGEL 0.75% TOPICAL GEL(gen) CH/GM,,1.36,
METRONIDAZOLE  VAGINAL GEL 70GM/CH/GM,,3.6,
METRONIDAZOLE {FLAGYL} TAB  250MG UD,,4,
METRONIDAZOLE {FLAGYL} TAB 500MG UD,,6,
METRONIDAZOLE 500MG IV PREMIX {FLAGYL} U,,75,
METRONIDAZOLE CREAM 0.75% 45GM CH/GM,,5.5,
METRONIDAZOLE GEL 1% 60GM  CH/GM,,7,
METRONIDAZOLE SUSP 50MG/ML   CH/ML,,0.5,
METRONIDAZOLE TOP GEL 0.75% 45GM CH/GM,,5.5,
MEXILETINE 150MG CAP,,6,
MIACALCIN NASAL SOLN   CH/ML  3.7ML BT,,42.5,
MI-ACID 80MG GAS RELIEF TAB {MYLICON} UD,,6,
"MICARDIS HCT  80-12.5 MG,",,6,
MICARDIS HCT 40/12.5MG,,11,
MICARDIS HCT TABS   80/25MG,,6,
MICARDIS TAB 40MG UD,,8,
MICARDIS TABS   80MG,,6,
MICONAZOLE NITRATE 2% CREAM   CH/GM,,0.5,
"MICROALB/CREAT RATIO, URINE   ID 152634",82570,57,
MICROSPONGE,,5.7,
MIDAZOLAM {VERSED} 1MG/ML CH/ML 10ML,,18,
MIDAZOLAM 2MG/2ML 2ML VIAL,,25,
MIDODRINE 2.5MG TABS,,6,
MIDODRINE 5MG TABS,,6,
MIDRIN CAP (GENERIC) MIGQUIN,,4,
MILK (COW) ALLERGEN   ID 152708,86003,50,
MILK THISTLE 1000MG CAP,,0.8,
MIMVEY 1MG/0.5MG (ESTRAD/NORETHIN) CH/TA,,6,
MINERAL OIL (CH/PER ML),,0.25,
MINERAL OIL ENEMA,,15,
MINI HEART HI-FLO CONT NEBULIZER,,20,
MINOR CLOSED SURGERY ADDITIONAL 1/2 HOUR,,166,
MINOR OPEN SURGERY FIRST 1/2 HOUR,,1213,
MINOXIDIL 10MG TAB,,6,
MINOXIDIL 2.5MG TAB,,4,
MINOXIDIL TOPICAL  5% {ROGAINE} CH/ML,,0.44,
MIOSTAT 0.01% INTRAOCULAR SOLN CH/VIAL,,37,
MIRACLE MOUTHWASH (PHCY MIXTURE){CH/ML},,0.12,
MIRACLE MOUTHWASH 4OZ BT UD,,15,
MIRACLE MOUTHWASH W/NYSTATIN(CHG/ML),,0.15,
MIRALAX  POWDER 238GM BT CHARGE 1,,40,
MIRALAX 17GM PK (PACK=1 TBSP),,8,
MIRTAZAPINE (REMERON) 7.5MG TAB,,6,
MIRTAZAPINE (REMERON) TAB 45MG,,6,
MIRTAZAPINE {REMERON} TAB  15MG UD,,6,
MIRTAZAPINE {REMERON} TAB  30MG UD,,6,
MIRTAZAPINE 15MG ORALLY DISINTEGRATING,,6,
MISOPROSTOL TAB 200mcg,,6,
MITCHUM ANTI-PERSPIANT,,7,
MITT HAND CONTROL,,59,
MM MAMMOGRAM BILATERAL-ADDITIONAL VIEWS,77066,195,
MM MAMMOGRAM UNILATERAL-ADDITIONAL VIEWS,77065,162,
MMR  INJ,,100,
MODAFINIL (PROVIGIL) TAB 200MG,,37,
MODIFIED BARIUM SWALLOW (SPEECH THER),74210GN,264,
MOLE FOAM,,0.8,
MOLESKIN,,7,
MOM DOSE   30ML UD,,8,
MOMETASONE (ELOCON) 0.1% CREAM 15GM,,0.78,
MOMETASONE CR 0.1% (ELOCON) 45GM CH/GM,,1.56,
MOMETASONE NASAL SPRAY (NASONEX) PER GM,,22.75,
MOMETASONE OINT 0.1% (ELOCON) 15GM CH/GM,,2.65,
MONITOR C02,,44.3,
MONITORING AND NURSING CARE,,23,
MONTELUKAST (SINGULAIR)  CHEW TAB   4MG,,9,
MONTELUKAST (SINGULAIR)  CHEW TAB   5MG,,6,
MONTELUKAST {SINGULAIR}  ORAL GRAN 4MG,,11,
MONTELUKAST {SINGULAIR} TAB  10MG UD,,6,
MONUROL (FOSFOMYCIN)  3GM PKT,,256,
MORPHINE 4MG/ML VIAL 1ML,J2270,26,
MORPHINE DRIP 1 MG/ML,,15,
MORPHINE INJ  10MG/ML  UD,J2270,28,
MORPHINE INJ  2MG/ML   UD,J2270,28,
MORPHINE INJ  4MG/ML  UD,,28,
MORPHINE INJ 10MG/ML 1ML VIAL,J2270,28,
MORPHINE INJ 5MG/ML 1ML VIAL,J2270,22,
MORPHINE INJ 8MG/ML  CARPUJECT,,22,
MORPHINE VIAL   10MG/ML {PER ML},J2271,2,
MOTRIN IB 200MG TAB,,6,
MOUTHWASH,,4,
MOXIFLOXACIN (AVELOX) TAB  400MG UD,,40,
MRI JOINT LOWER EXTREMITIES MEDICAID,73721,1125,
MRI JOINT UPPER EXTREMITIES MEDICAID,73221,1125,
MS CONTIN 100 MG UD,,10,
MS CONTIN 15 MG (GENERIC) UD,,8,
MS CONTIN 200MG (GENERIC),,10,
MS CONTIN 30 MG (GENERIC) UD,,8,
MS CONTIN 60 MG (GENERIC) UD,,10,
MSIR 15 MG TAB (MS IMMEDIATE REL) UD,,8,
MSIR 30 MG TAB (MORPHINE SULFATE) UD,,8,
MUCINEX {guaiFENesin ER} TAB  600MG UD,,6,
MUCINEX D TAB 600MG/60MG,,6,
MUCINEX DM TABS,,6,
MUCUS RELIEF {guaiFENesin} TAB  400MG,,6,
MULTAQ  (DRONEDARONE) TAB  400MG UD,,18.4,
MULTI-VIT {THERAGRAN}  TAB  UD,,6,
MULTI-VITAMIN INFUSION 1000ML,,150,
MUPIROCIN {BACTROBAN} OINT   22GM CH/GM,,26,
MUPIROCIN {BACTROBAN} OINT : CH/TUBE UD,,26,
MVD  MIX 30 ML UD,,85,
MVD MIXTURE ch/ ML,,3,
MVI INJECTION (LOOK IN REFRIGERATOR) UD,,32,
MVL MIX CH/ML (MYLANTA/VISC LIDO/LEVSIN),,0.35,
MYAMBUTOL (Ethambutol) TABS   400MG,,6,
MYCAMINE 100MG VIAL,,157,
MYCOPHENOLATE MOFETIL CAP 250MG (CELCEPT,,6,
MYCOPHENOLIC ACID   ID 152768,80180,574,
MYLICON DROPS (SIMETHICONE) 30ML (CHG 1),,13,
MYRBETRIQ 25MG ER TABLET,,36,
MYRBETRIQ 50MG ER TABLET,,22,
MYRINGOPLASTY,69620,5395,
MYRINGOTOMY W/GENERAL ANES,69421,4149,
NABUMETONE 500MG TAB {RELAFEN} UD,,6,
NABUMETONE 750MG TAB {RELAFEN},,7,
NADOLOL TAB 20MG (CORGARD),,6,
NAFCILLIN 2GM ADV,,50,
NAFTIN CREAM 1% 20GM,,1.6,
NAFTIN CREAM 1% 90GM PUMP : CH/GM,,7.2,
NAIR,,0.8,
NALTREXONE TABS 50MG,,6,
NAMENDA TAB  10MG UD,,12.5,
NAMENDA TAB  5MG UD,,12.5,
NAMENDA TITRATION PACK 5MG & 10MG CH/TAB,,17,
NAMENDA XR CAP  14MG,,28,
NAMENDA XR CAP  21MG,,34,
NAMENDA XR CAP  28MG,,36.25,
NAMENDA XR TAB  7MG,,24.5,
NAMENDA XR TITRATION PAK CH/CAP,,25.33,
NAMZARIC 28MG/10MG CAP,,72,
NAPROXEN 220MG TAB {ALEVE} UD,,6,
NAPROXEN 250MG TAB,,4,
NAPROXEN 375MG EC (DELAYED RELEASE) TAB,,4,
NAPROXEN 375MG TAB,,6,
NAPROXEN 500MG EC (DELAYED RELEASE) TAB,,6,
NAPROXEN 500MG TAB,,6,
NARCAN 0.4MG/ML INJ,,45,
NARCAN 1MG/ML (2ML AMP) NALOXONE,J2310,75,
NASACORT AQ (TRIAMCINOLONE)  PER GRAM,,6.19,
NASAL CAUTERIZATION/PACK ANTERIOR SIMPLE,30901,220,
NASAL CAUTERIZATION/PACK ANTERIOR SIMPLE,30901,224,
NASAL CAUTERIZATION/PACKING SUBSEQUENT,30906,677,
NASAL CAUTERIZATION/PK ANTERIOR COMPLEX,30903,272,
NASAL CAUTERIZATION/PK HEMORRHAGE POSTER,30905,313,
NASAL COMFORT MOISTURE THERAPY  CH 1,,13.63,
NASALCROM (CROMOLYN SOD) NASAL SPRAY CH1,,31,
NASONEX NASAL SPRAY (PER GM),,33,
NATAZIA  TAB 28 : CH/TAB   ),,8.85,
NATEGLINIDE (STARLIX) TAB 120MG,,6,
NATURE-THYROID TAB 1.5GR (97.5MG),,6,
NEBULIZER ADULT MINI HEART 100612A,,21,
NEBULIZER AEROCLIPSE,,15,
NEBULIZER PED. MINI HEART 100613A,,21,
NEBULIZER VARIABLE FLOW  441 VF,,14,
NEBULIZERS 002446,,7,
NECON 1/35-28 {ORTHO-NOVUM}  CH PER TAB,,8,
NEEDLE 18G 7  BIOPSY - CORE TISSUE,,39,
NEEDLE 18GX6  BIOPSY 2N2713X,,80,
NEEDLE 25X11/2 RETROBULBAR,,15,
NEEDLE 25X5/8,,3,
NEEDLE 25X7/8 PERIBUBAR ATKINSON,,15,
NEEDLE ARTICULATOR INJECTION,,157,
NEEDLE BOVIE CONMED 138102,,8,
NEEDLE DISP. BIOPSY  2N2704T,,86,
NEEDLE EPIDURAL 18GA 3.5 TUOHY,,27,
NEEDLE EPIDURAL 18GA 6 TUOHY,,27,
NEEDLE EPIDURAL 20GA 3.5 TUOHY,,24,
NEEDLE FILTER 19GA 1 1/2,,3,
NEEDLE HUBER 19 X 1,,11,
NEEDLE HUBER 20 X  1,,15,
NEEDLE INTRAOSSEOUS INFUSION #15,,203,
NEEDLE INTRAOSSEOUS INFUSION #16,,136,
NEEDLE INTRAOSSEOUS INFUSION #18,,120,
NEEDLE MAGELLAN 18GA X 1.5,,3,
NEEDLE MAGELLAN 25GA X 1.5,,3,
NEEDLE SPINAL 18G X 31/2,,6,
NEEDLE SPINAL 20G X 31/2,,6,
NEEDLE SPINAL 20GA  6,,15,
NEEDLE SPINAL 22G x 3 1/2,,6,
NEEDLE SPINAL 22G X 5,,15,
NEEDLE SPINAL 22G X 5 405148,,9,
NEEDLE SPINAL 22G X 7  405149,,9,
NEEDLE SPINAL 22GX3 1/2,,5,
NEEDLE SPINAL 25G x 3 1/2,,6,
NEEDLE SPINAL 25G X 31/2   405180,,6,
NEEDLE SPINAL GERTIE MARX 22X31/2,,11,
NEEDLE SPROTTE 22 X 31/2,,31,
NEEDLE SPROTTE 24 X 31/2,,31,
NEEDLE SPROTTE 25 X 47/8,,30,
NEOMY/POLYB/DEX OPHTH SUSP CH/ML MAXITRO,,7.61,
NEOMYC/POLYB/HYDROCORT OTIC SUSP CH/ML,,20,
NEOMYCIN 500MG TAB UD,,8,
NEOMYCIN/POLY-B/BACIT OPHTH OINT   CH/GM,,5,
NEOSPORIN GU IRRIGANT AMPS {NOT FOR INJ},,20,
NEOSPORIN OINT 15GM(GEN TRIPLE ANTIBIOTI,,1.2,
NEOSTIGMINE INJ : 1MG/ML : CH/1,,163,
NEO-SYNEPHRINE 1% NASAL SPY PER CC,,11,
NEO-SYNEPHRINE 10MG/ML AMP,,16,
NEPHRO-VITE TAB,,6,
NET 2  STRETCH  MT02,,4,
